StationUniqueId,AreaName,Lat,Lon,Name
940GZZLUNHA,A-STA,51.58492,-0.36202,North Harrow
940GZZLUNHG,A-N-S,51.50893,-0.19656,Notting Hill Gate
940GZZLUNHT,A-MAN,51.54819,-0.36807,Northolt
940GZZLUNKP,A-NOR,51.57871,-0.31818,Northwick Park
940GZZLUNOW,A-GRE,51.61116,-0.4237,Northwood
940GZZLUNWH,A-JOE,51.60078,-0.40947,Northwood Hills
940GZZLUOAK,A-BRA,51.64763,-0.13209,Oakwood
940GZZLUOSY,A-GRE,51.48089,-0.35162,Osterley
940GZZLUOVL,A-CLA,51.48193,-0.11249,Oval
940GZZLUOXC,A-OSE,51.51512,-0.14192,Oxford Circus
940GZZLUPCC,A-P/R,51.50955,-0.13455,Piccadilly Circus
940GZZLUPCO,A-RAM,51.48929,-0.13372,Pimlico
940GZZLUPKR,A-HAN,51.52709,-0.28465,Park Royal
940GZZLUPLW,A-PLA,51.53128,0.01804,Plaistow
940GZZLUPNR,A-STA,51.59301,-0.3811,Pinner
940GZZLUPRD,A-PRE,51.57178,-0.29487,Preston Road
940GZZLUPSG,A-PAR,51.47535,-0.20088,Parsons Green
940GZZLUPVL,A-HOR,51.53677,-0.32401,Perivale
940GZZLUPYB,A-STA,51.46794,-0.20916,Putney Bridge
940GZZLUQBY,A-QUE,51.5941,-0.28552,Queensbury
940GZZLUQWY,A-QUE,51.51062,-0.18717,Queensway
940GZZLURBG,A-EAS,51.57628,0.04556,Redbridge
940GZZLURGP,A-MAR,51.52359,-0.14671,Regent's Park
940GZZLURSG,A-WES,51.5606,-0.4111,Ruislip Gardens
940GZZLURSM,A-VIC,51.57315,-0.41292,Ruislip Manor
940GZZLURSP,A-STA,51.57158,-0.42133,Ruislip
940GZZLURSQ,A-BER,51.52318,-0.12435,Russell Square
940GZZLURVP,A-RAR,51.49406,-0.23656,Ravenscourt Park
940GZZLURVY,A-STW,51.61734,0.04355,Roding Valley
940GZZLURYL,A-IMP,51.57495,-0.37076,Rayners Lane
940GZZLURYO,A-LOR,51.51911,-0.18878,Royal Oak
940GZZLUSBM,A-UXB,51.5057,-0.22627,Shepherd's Bush Market
940GZZLUSEA,A-SOU,51.50138,-0.30685,South Ealing
940GZZLUSFB,A-GOL,51.49495,-0.24497,Stamford Brook
940GZZLUSFS,A-WIM,51.44486,-0.20654,Southfields
940GZZLUSGN,A-MIL,51.5218,-0.04661,Stepney Green
940GZZLUSGT,A-STA,51.63232,-0.12806,Southgate
940GZZLUSHH,A-NOR,51.56491,-0.35259,South Harrow
940GZZLUSJP,A-PET,51.49964,-0.13365,St James's Park
